Year,Arrest,Counts
2001,False,3165
2001,True,723
2002,False,248854
2002,True,96173
2003,False,331553
2003,True,140442
2004,False,322889
2004,True,144250
2005,False,309648
2005,True,140230
2006,False,310832
2006,True,134680
2007,False,303856
2007,True,131691
2008,False,311534
2008,True,108121
2009,False,276950
2009,True,108813
2010,False,269315
2010,True,100462
2011,False,254714
2011,True,96176
2012,False,244543
2012,True,90573
2013,False,219900
2013,True,86460
2014,False,194327
2014,True,79309
2015,False,190273
2015,True,67515
2016,False,213639
2016,True,52845
2017,False,211889
2017,True,52263
2018,False,209968
2018,True,52935
2019,False,202079
2019,True,56091
2020,False,173141
2020,True,33782
2021,False,177017
2021,True,25010
2022,False,205522
2022,True,26938
2023,False,182727
2023,True,24416
