Primary Type,Community Area,Arrest,Counts
ARSON,1.0,False,82
ARSON,1.0,True,26
ARSON,2.0,False,109
ARSON,2.0,True,19
ARSON,3.0,False,66
ARSON,3.0,True,22
ARSON,4.0,False,35
ARSON,4.0,True,9
ARSON,5.0,False,45
ARSON,5.0,True,11
ARSON,6.0,False,92
ARSON,6.0,True,24
ARSON,7.0,False,63
ARSON,7.0,True,9
ARSON,8.0,False,64
ARSON,8.0,True,21
ARSON,9.0,False,9
ARSON,9.0,True,4
ARSON,10.0,False,45
ARSON,10.0,True,12
ARSON,11.0,False,37
ARSON,11.0,True,8
ARSON,12.0,False,8
ARSON,12.0,True,3
ARSON,13.0,False,36
ARSON,13.0,True,3
ARSON,14.0,False,98
ARSON,14.0,True,14
ARSON,15.0,False,160
ARSON,15.0,True,20
ARSON,16.0,False,154
ARSON,16.0,True,19
ARSON,17.0,False,83
ARSON,17.0,True,10
ARSON,18.0,False,37
ARSON,18.0,True,6
ARSON,19.0,False,370
ARSON,19.0,True,31
ARSON,20.0,False,152
ARSON,20.0,True,20
ARSON,21.0,False,146
ARSON,21.0,True,18
ARSON,22.0,False,283
ARSON,22.0,True,22
ARSON,23.0,False,496
ARSON,23.0,True,45
ARSON,24.0,False,308
ARSON,24.0,True,32
ARSON,25.0,False,745
ARSON,25.0,True,89
ARSON,26.0,False,222
ARSON,26.0,True,21
ARSON,27.0,False,168
ARSON,27.0,True,22
ARSON,28.0,False,130
ARSON,28.0,True,19
ARSON,29.0,False,354
ARSON,29.0,True,52
ARSON,30.0,False,323
ARSON,30.0,True,35
ARSON,31.0,False,142
ARSON,31.0,True,18
ARSON,32.0,False,49
ARSON,32.0,True,12
ARSON,33.0,False,23
ARSON,33.0,True,11
ARSON,34.0,False,23
ARSON,34.0,True,21
ARSON,35.0,False,41
ARSON,35.0,True,9
ARSON,36.0,False,18
ARSON,36.0,True,5
ARSON,37.0,False,31
ARSON,37.0,True,8
ARSON,38.0,False,90
ARSON,38.0,True,12
ARSON,39.0,False,35
ARSON,39.0,True,7
ARSON,40.0,False,71
ARSON,40.0,True,10
ARSON,41.0,False,21
ARSON,41.0,True,9
ARSON,42.0,False,123
ARSON,42.0,True,23
ARSON,43.0,False,274
ARSON,43.0,True,39
ARSON,44.0,False,188
ARSON,44.0,True,33
ARSON,45.0,False,53
ARSON,45.0,True,15
ARSON,46.0,False,212
ARSON,46.0,True,36
ARSON,47.0,False,28
ARSON,47.0,True,2
ARSON,48.0,False,41
ARSON,48.0,True,6
ARSON,49.0,False,338
ARSON,49.0,True,42
ARSON,50.0,False,31
ARSON,50.0,True,8
ARSON,51.0,False,80
ARSON,51.0,True,13
ARSON,52.0,False,103
ARSON,52.0,True,9
ARSON,53.0,False,247
ARSON,53.0,True,36
ARSON,54.0,False,38
ARSON,54.0,True,10
ARSON,55.0,False,53
ARSON,55.0,True,6
ARSON,56.0,False,96
ARSON,56.0,True,12
ARSON,57.0,False,60
ARSON,57.0,True,4
