District,Arrest,Counts
1.0,False,218048
1.0,True,79518
2.0,False,248665
2.0,True,79851
3.0,False,275168
3.0,True,92292
4.0,False,322290
4.0,True,91622
5.0,False,241145
5.0,True,80232
6.0,False,318170
6.0,True,108871
7.0,False,301933
7.0,True,116353
8.0,False,379060
8.0,True,108636
9.0,False,256564
9.0,True,95388
10.0,False,215452
10.0,True,97703
11.0,False,272870
11.0,True,191634
12.0,False,279157
12.0,True,77721
14.0,False,219446
14.0,True,54547
15.0,False,190019
15.0,True,118940
16.0,False,197668
16.0,True,43769
17.0,False,165931
17.0,True,41927
18.0,False,249829
18.0,True,72834
19.0,False,257920
19.0,True,64692
20.0,False,98665
20.0,True,27603
21.0,False,2
21.0,True,2
22.0,False,188756
22.0,True,48927
24.0,False,171116
24.0,True,46939
25.0,False,300349
25.0,True,109813
31.0,False,112
31.0,True,84
