source,target,value
ARSON,APARTMENT,54
ARSON,PARKING LOT / GARAGE (NON RESIDENTIAL),17
ARSON,RESIDENCE,60
ARSON,SIDEWALK,2
ARSON,STREET,103
ASSAULT,APARTMENT,4915
ASSAULT,PARKING LOT / GARAGE (NON RESIDENTIAL),482
ASSAULT,RESIDENCE,2672
ASSAULT,SIDEWALK,1692
ASSAULT,STREET,4157
BATTERY,APARTMENT,13200
BATTERY,PARKING LOT / GARAGE (NON RESIDENTIAL),709
BATTERY,RESIDENCE,6392
BATTERY,SIDEWALK,3963
BATTERY,STREET,5921
BURGLARY,APARTMENT,2809
BURGLARY,PARKING LOT / GARAGE (NON RESIDENTIAL),66
BURGLARY,RESIDENCE,1705
BURGLARY,SIDEWALK,8
BURGLARY,STREET,72
CONCEALED CARRY LICENSE VIOLATION,APARTMENT,1
CONCEALED CARRY LICENSE VIOLATION,SIDEWALK,3
CONCEALED CARRY LICENSE VIOLATION,STREET,59
CRIMINAL DAMAGE,APARTMENT,5023
CRIMINAL DAMAGE,PARKING LOT / GARAGE (NON RESIDENTIAL),1846
CRIMINAL DAMAGE,RESIDENCE,3580
CRIMINAL DAMAGE,SIDEWALK,303
CRIMINAL DAMAGE,STREET,10291
CRIMINAL SEXUAL ASSAULT,APARTMENT,541
CRIMINAL SEXUAL ASSAULT,PARKING LOT / GARAGE (NON RESIDENTIAL),16
CRIMINAL SEXUAL ASSAULT,RESIDENCE,333
CRIMINAL SEXUAL ASSAULT,SIDEWALK,28
CRIMINAL SEXUAL ASSAULT,STREET,67
CRIMINAL TRESPASS,APARTMENT,870
CRIMINAL TRESPASS,PARKING LOT / GARAGE (NON RESIDENTIAL),139
CRIMINAL TRESPASS,RESIDENCE,600
CRIMINAL TRESPASS,SIDEWALK,41
CRIMINAL TRESPASS,STREET,383
DECEPTIVE PRACTICE,APARTMENT,4308
DECEPTIVE PRACTICE,PARKING LOT / GARAGE (NON RESIDENTIAL),179
DECEPTIVE PRACTICE,RESIDENCE,5057
DECEPTIVE PRACTICE,SIDEWALK,232
DECEPTIVE PRACTICE,STREET,737
GAMBLING,SIDEWALK,5
GAMBLING,STREET,1
HOMICIDE,APARTMENT,56
HOMICIDE,RESIDENCE,2
HOMICIDE,STREET,405
HUMAN TRAFFICKING,APARTMENT,6
HUMAN TRAFFICKING,RESIDENCE,7
HUMAN TRAFFICKING,SIDEWALK,1
INTERFERENCE WITH PUBLIC OFFICER,APARTMENT,8
INTERFERENCE WITH PUBLIC OFFICER,PARKING LOT / GARAGE (NON RESIDENTIAL),14
INTERFERENCE WITH PUBLIC OFFICER,RESIDENCE,8
INTERFERENCE WITH PUBLIC OFFICER,SIDEWALK,41
INTERFERENCE WITH PUBLIC OFFICER,STREET,231
INTIMIDATION,APARTMENT,56
INTIMIDATION,PARKING LOT / GARAGE (NON RESIDENTIAL),1
INTIMIDATION,RESIDENCE,63
INTIMIDATION,SIDEWALK,7
INTIMIDATION,STREET,9
KIDNAPPING,APARTMENT,21
KIDNAPPING,PARKING LOT / GARAGE (NON RESIDENTIAL),5
KIDNAPPING,RESIDENCE,21
KIDNAPPING,SIDEWALK,14
KIDNAPPING,STREET,33
LIQUOR LAW VIOLATION,RESIDENCE,1
LIQUOR LAW VIOLATION,STREET,2
MOTOR VEHICLE THEFT,APARTMENT,301
MOTOR VEHICLE THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),1912
MOTOR VEHICLE THEFT,RESIDENCE,391
MOTOR VEHICLE THEFT,SIDEWALK,55
MOTOR VEHICLE THEFT,STREET,16168
NARCOTICS,APARTMENT,82
NARCOTICS,PARKING LOT / GARAGE (NON RESIDENTIAL),121
NARCOTICS,RESIDENCE,64
NARCOTICS,SIDEWALK,1031
NARCOTICS,STREET,1834
NON-CRIMINAL,RESIDENCE,2
NON-CRIMINAL,STREET,1
OBSCENITY,APARTMENT,17
OBSCENITY,RESIDENCE,9
OBSCENITY,SIDEWALK,1
OBSCENITY,STREET,2
OFFENSE INVOLVING CHILDREN,APARTMENT,671
OFFENSE INVOLVING CHILDREN,PARKING LOT / GARAGE (NON RESIDENTIAL),15
OFFENSE INVOLVING CHILDREN,RESIDENCE,809
OFFENSE INVOLVING CHILDREN,SIDEWALK,56
OFFENSE INVOLVING CHILDREN,STREET,89
OTHER NARCOTIC VIOLATION,APARTMENT,2
OTHER NARCOTIC VIOLATION,RESIDENCE,1
OTHER NARCOTIC VIOLATION,STREET,2
OTHER OFFENSE,APARTMENT,4925
OTHER OFFENSE,PARKING LOT / GARAGE (NON RESIDENTIAL),133
OTHER OFFENSE,RESIDENCE,3992
OTHER OFFENSE,SIDEWALK,212
OTHER OFFENSE,STREET,2676
PROSTITUTION,APARTMENT,1
PROSTITUTION,PARKING LOT / GARAGE (NON RESIDENTIAL),1
